Time(s),Fx,Fy,Fz,Tx,Ty,Tz,PosX,PosY,PosZ,SerialData
2.00001522898674e-07,0.06579075809568166,0.0034915700554847716,0.024886776297353207,0.00010795701527968049,-0.0030591347778681664,-0.00018317516951356084,211.0005,189.113,88.0,"0.02,0.05,-1.06,-4.95,-0.73,0.40,100619,24.5"
0.09939939994364977,0.04368787789717317,-0.00015436764806509018,-0.008976125717163086,-0.00012832909706048668,-0.002475946323829703,0.0002083447005134076,211.0005,189.321,88.0,"0.02,0.05,-1.06,-4.95,-0.73,0.46,100627,24.5"
0.2044527999823913,0.031410342548042536,0.013773462176322937,-0.027088503912091257,0.00022876004222780467,-0.0014576978981494903,0.00020426445407792926,211.0005,189.533,88.0,"0.02,0.05,-1.06,-4.89,-0.73,0.46,100635,24.5"
0.30937289993744344,0.03943161778151989,0.036484235897660255,-0.003845803253352642,0.0011443469091318547,-0.0013092964014504104,-6.31527349469252e-05,211.0005,189.721,88.0,"0.02,0.05,-1.06,-4.95,-0.73,0.40,100617,24.5"
0.40340549999382347,0.041810041107237336,-0.022580905817449093,-0.01668066866695881,-0.001095788716338575,-0.0028875633084680884,0.0004379654594231397,211.0005,189.913,88.0,"0.02,0.05,-1.06,-5.02,-0.73,0.40,100627,24.5"
0.5003468999639153,0.05765400948002934,0.0023939710110425947,0.011177265644073486,-5.1476818043738604e-05,-0.0026197680621407927,-4.659015394281596e-05,211.0005,190.107,88.0,"0.02,0.05,-1.06,-4.95,-0.67,0.40,100617,24.5"
0.5963566999416798,0.0527206689119339,0.005639605224132538,0.011117257922887803,-4.444256192073226e-05,-0.002254382081446238,-4.961236263625324e-05,211.0005,190.339,88.0,"0.02,0.06,-1.06,-5.02,-0.73,0.46,100618,24.5"
0.7133693000068888,0.040703455358743666,-0.030783968418836592,-0.008836943237110973,-0.0013076642586383968,-0.003129581455141306,0.00045307313557714225,211.0005,190.529,88.0,"0.03,0.06,-1.06,-5.02,-0.73,0.40,100624,24.5"
0.8083700999850407,0.011325220670551061,0.014711075089871883,-0.04761296659708023,0.0002590992429759353,-0.00083199652726762,0.0004458754614461213,211.0005,190.733,88.0,"0.02,0.06,-1.06,-4.89,-0.67,0.46,100636,24.5"
0.910337199922651,0.03019885141402483,0.024892410822212697,-0.031277934834361074,0.0006177693605422974,-0.0013472696009557694,0.0001991803292185068,211.0005,190.9385,88.0,"0.02,0.06,-1.06,-4.95,-0.73,0.40,100629,24.5"
1.0123780999565497,0.05934215914458037,-0.005343668907880783,0.0012744061648845672,-0.00038256256375461816,-0.003106500394642353,3.494546981528401e-05,211.0005,191.133,88.0,"0.02,0.05,-1.06,-4.95,-0.73,0.46,100619,24.5"
1.110367099987343,0.061802738904953004,0.0014964668080210686,-0.0056985486298799515,-0.0003381639951840043,-0.0030987785721663386,-0.0001460783474612981,211.0005,191.347,88.0,"0.02,0.05,-1.06,-4.89,-0.79,0.40,100631,24.5"
1.2163951999973506,0.049211541563272475,-0.004274252615869045,-0.018887889198958875,-0.0006409868539776653,-0.002848440478555858,2.0600276184268295e-05,211.0005,191.575,88.0,"0.02,0.05,-1.06,-4.89,-0.73,0.40,100632,24.5"
1.3313945999834687,0.02866288982331753,0.05207497291266918,-0.06775519382208586,0.0012086898554116488,-0.0011392643675208092,5.6011191918514666e-05,211.0005,191.761,88.0,"0.02,0.05,-1.06,-4.77,-0.73,0.46,100621,24.5"
1.4244108999846503,0.011503956466913223,0.06712955981492996,-0.10657288208603859,0.0013587210443802178,-0.00016226234147325157,0.00016248990723397583,211.0005,191.965,88.0,"0.02,0.06,-1.06,-4.77,-0.73,0.40,100634,24.5"
1.5263794999336824,0.025109403766691685,0.027627563290297984,-0.10677432976663112,-0.00019030771945836023,-0.0017347601286019198,0.00024497802369296553,211.0005,192.153,88.0,"0.02,0.06,-1.06,-4.65,-0.79,0.34,100630,24.5"
1.6203630999661982,0.04047849178314209,0.02548000980168581,-0.10158597975969315,-0.000365420849993825,-0.0025031874072737994,6.088468944653869e-05,211.0005,192.343,88.0,"0.02,0.06,-1.06,-4.47,-0.73,0.34,100625,24.5"
1.7153848999878392,0.011177893355488777,0.053510896116495135,-0.1617444097995758,0.00039174444682430474,-0.0009208948584273457,0.00029561222181655465,211.0005,192.549,88.0,"0.02,0.05,-1.06,-4.16,-0.73,0.34,100617,24.5"
1.818404399906285,0.0276200994849205,0.018358913622796534,-0.15658937096595765,-0.0010655395570211112,-0.002586773072835058,0.00039327958947978916,211.0005,192.767,88.0,"0.02,0.06,-1.06,-3.67,-0.61,0.34,100629,24.5"
1.927404599962756,0.020428873039782046,0.04121471047401428,-0.18787718564271927,-0.00044516489142552016,-0.0020341536728665233,0.00033110465737991036,211.0005,192.989,88.0,"0.02,0.06,-1.06,-3.37,-0.61,0.22,100631,24.5"
2.0384215000085533,0.03434738554060459,0.03811188414692879,-0.17538887560367583,-0.0007154115242883563,-0.002670841582585126,7.565631531178952e-05,211.0005,193.177,88.0,"0.02,0.06,-1.06,-3.00,-0.55,0.22,100615,24.5"
2.1323955999687314,0.013571898639202117,0.05098665524274111,-0.23282862603664398,-0.0005068572005257011,-0.0019724196288734676,0.00032982192933559416,211.0005,193.405,88.0,"0.02,0.06,-1.06,-2.45,-0.49,0.09,100630,24.5"
2.246369499946013,0.039430161379277705,0.06053232327103615,-0.21420516073703766,-0.0002622951986268163,-0.0028147139819338918,-7.388042868115008e-05,211.0005,193.593,88.0,"0.02,0.06,-1.06,-2.09,-0.42,0.16,100631,24.5"
2.340411299956031,0.010032374039292335,0.05660109370946884,-0.2797188699245453,-0.0008703175466507673,-0.0021499899914488195,0.0003550737048499286,211.0005,193.817,88.0,"0.02,0.06,-1.06,-1.78,-0.49,0.09,100615,24.5"
2.4524096999084577,0.026418885588645934,0.06922701485455036,-0.27040648460388184,-0.0006163727608509362,-0.0025098240934312344,-4.9160898197442296e-05,211.0005,194.029,88.0,"0.02,0.06,-1.06,-1.54,-0.42,0.16,100627,24.5"
2.558384299976751,-0.002215411514043808,0.10467565655708314,-0.33712283968925477,0.00037827591877430676,-0.001127886597532779,0.0001895657158456743,211.0005,194.313,88.0,"0.02,0.06,-1.06,-1.17,-0.36,0.03,100630,24.5"
2.7003971999511123,-0.003094540908932686,0.07982089798897504,-0.3805865466594696,-0.0008257927605882287,-0.0020550447050482036,0.00038912606541998687,211.0005,194.503,88.0,"0.02,0.06,-1.06,-1.17,-0.49,0.03,100635,24.5"
2.795431499951519,0.03538541495800018,0.07645768988877535,-0.34934842586517334,-0.0010488735511898994,-0.0037458296399563553,-8.331978460773826e-05,211.0005,194.725,88.0,"0.02,0.06,-1.06,-0.93,-0.49,0.09,100647,24.5"
2.9053984999191016,-0.006717722862958908,0.11176797598600388,-0.4241708993911743,-0.0001315817702561617,-0.0016549452440813184,0.00022496063902508468,211.0005,195.001,88.0,"0.02,0.06,-1.06,-0.93,-0.49,0.09,100724,24.5"
3.0443950999761,0.014980290411040187,0.10749018639326095,-0.43807790279388426,-0.0007286753738299012,-0.002905932534486055,5.3670996567234394e-05,211.0005,195.285,88.0,"0.02,0.06,-1.06,-0.99,-0.55,0.03,100957,24.5"
3.1864190999185666,-0.014691654220223426,0.15699900165200234,-0.5137086331844329,0.0005422075977548957,-0.0012634912971407175,0.00010626158909872174,211.0005,195.499,88.0,"0.02,0.06,-1.06,-0.99,-0.55,0.09,101196,24.5"
3.2933699999703094,-0.012997954338788986,0.14990340769290925,-0.5289355337619781,9.311246685683727e-06,-0.0015629529021680354,8.069297473412007e-05,211.0005,195.689,88.0,"0.02,0.06,-1.06,-1.05,-0.49,0.09,101384,24.5"
3.387415500008501,-0.02516018897294998,0.17232030481100083,-0.5752495765686035,0.0006308774231001735,-0.001220749644562602,0.0001479967962950468,211.0005,195.895,88.0,"0.02,0.06,-1.06,-1.23,-0.55,0.09,101597,24.5"
3.491437799995765,-0.038249317184090616,0.14858924746513366,-0.6208145618438721,-0.00048211824614554646,-0.0016441237647086381,0.00047140381648205223,211.0005,196.157,88.0,"0.02,0.06,-1.06,-1.48,-0.67,0.22,101846,24.5"
3.622434299904853,-0.04585131369531155,0.16192294657230377,-0.672216260433197,-0.0006798291811719537,-0.0014724879059940577,0.0005351884057745338,211.0005,196.3805,88.0,"0.02,0.06,-1.06,-1.78,-0.73,0.22,102052,24.5"
3.7333997999085113,-0.02951395623385906,0.16481982469558715,-0.670316731929779,-0.0008634620113298297,-0.0022537584882229567,0.00021512560779228805,211.0005,196.585,88.0,"0.02,0.06,-1.06,-2.03,-0.73,0.22,102237,24.5"
3.836406199960038,-0.04413962438702583,0.1762153446674347,-0.7226588368415833,-0.000871386774815619,-0.001987516274675727,0.00041698121931403874,211.0005,196.795,88.0,"0.02,0.07,-1.06,-2.39,-0.79,0.22,102414,24.5"
3.9413904999382794,-0.032581577450037,0.1828244149684906,-0.7341771602630616,-0.0008403487037867308,-0.0023667560890316963,0.00016054041916504502,211.0005,196.987,88.0,"0.02,0.06,-1.06,-3.00,-0.85,0.34,102560,24.5"
4.037405199953355,-0.046910501271486285,0.22171829342842103,-0.7858497262001037,0.00021328898146748542,-0.0015473552979528905,0.00013703423319384457,211.0005,197.173,88.0,"0.02,0.07,-1.06,-3.92,-0.91,0.40,102714,24.5"
4.130399099900387,-0.031503715366125104,0.20688479840755464,-0.8021990895271301,-0.000594146316871047,-0.0026727408170700074,8.282493799924851e-05,211.0005,197.375,88.0,"0.02,0.07,-1.06,-4.95,-1.03,0.46,102860,24.5"
4.231399499927647,-0.052022865414619444,0.24573449194431304,-0.8533045053482056,0.00028026499785482883,-0.0012528780847787858,7.540162187069654e-05,211.0005,197.497,88.0,"0.02,0.07,-1.06,-4.65,-0.85,0.52,102935,24.5"
4.338418099912815,-0.06103858128190041,0.18288297355175018,-0.8281596183776856,-0.0016548753250390292,-0.0024075373541563748,0.0006730519235134125,211.0005,197.347,88.0,"0.02,0.07,-1.06,-4.16,-0.67,0.58,102781,24.5"
4.4344314999179915,-0.020820329338312148,0.17356741279363633,-0.6945486545562745,-0.001247484446503222,-0.003007223643362522,7.841397309675813e-05,211.0005,197.127,88.0,"0.02,0.07,-1.06,-4.34,-0.79,0.52,102535,24.4"
4.544411499984562,-0.032187366485595705,0.21035750210285187,-0.6601961493492127,0.0005173787008970976,-0.0015208447352051736,4.964462714269757e-05,211.0005,196.839,88.0,"0.02,0.07,-1.06,-4.28,-0.79,0.52,102227,24.5"
4.688451599911787,0.012631115317344666,0.1448078840970993,-0.5287567257881165,-0.0009706587996333837,-0.003951730765402317,-0.00017378429765813053,211.0005,196.649,88.0,"0.02,0.07,-1.06,-4.28,-0.73,0.52,102014,24.5"
4.78340999991633,0.0010461095720529557,0.14577528238296508,-0.5019349932670594,-0.0006244049873203039,-0.0029628212563693524,-0.00012279513175599276,211.0005,196.369,88.0,"0.02,0.06,-1.06,-4.34,-0.79,0.58,101723,24.5"
